chunk,seed,rows,best_epoch,best_r2,best_rmse,best_mae,best_pearson,best_spearman,final_r2,final_pearson,final_spearman,cell_dim,drug_dim,chunk_dir
1,42,39876,8,-0.5800842214136739,0.18264347299717015,0.15118616172067925,0.2478835405832743,0.2192838764572763,-0.5800842214136739,0.2478835405832743,0.2192838764572763,2663,3859,analysis_results\chunked_prism_training\chunk_01
2,43,39874,1,-0.09121118327188205,0.1911929971023814,0.13674132948282733,0.11772443270320226,0.11235743863630747,-0.23412318692500755,0.2571654399557568,0.1995539360091913,2663,3865,analysis_results\chunked_prism_training\chunk_02
3,44,39881,1,-0.34324516856755305,0.15123286438007832,0.11858232974727367,0.12342005353417333,0.08817739551304744,-1.4488401075712911,0.21531524382479436,0.18998001935051512,2663,3889,analysis_results\chunked_prism_training\chunk_03
4,45,39906,1,-0.09020200228182196,0.16887694793761815,0.13264108618455792,0.22497689151480904,0.2691609447445458,-0.20523527403362274,0.2657038151378485,0.24607970236729695,2662,3850,analysis_results\chunked_prism_training\chunk_04
5,46,39888,6,-0.8128630493818672,0.19271673872668926,0.15318930657459592,0.08084393632239567,0.0404144587307241,-1.207900671998257,0.052222321708558894,-0.002302724223342672,2663,3880,analysis_results\chunked_prism_training\chunk_05
