regime,n_runs,r2_mean,r2_sd,r2_min,r2_max,rmse_mean,rmse_sd,rmse_min,rmse_max,mae_mean,mae_sd,mae_min,mae_max,pearson_mean,pearson_sd,pearson_min,pearson_max,spearman_mean,spearman_sd,spearman_min,spearman_max
pathway,5,-0.001518903371892684,0.052064548312862904,-0.0514075623827305,0.0793775017718404,0.17998115478964158,0.03199140042843402,0.148284931788232,0.21622563823654664,0.13509035050784143,0.01782291420667189,0.1150596620272736,0.1562774650349126,0.20362994047929286,0.10566261705530118,0.0717667009748108,0.3186859556309531,0.18724326879165468,0.1558081535273097,0.07179268743204345,0.3981612807324073
repeated_drug,5,0.23290555741705227,0.06887379873586866,0.1437329604973165,0.3276320680892207,0.1826458855914907,0.011340347216662532,0.1700971421223177,0.197235097648283,0.13464475526729566,0.006199614143815987,0.1293790812830999,0.144568307394457,0.4889570786264296,0.06547088919618317,0.4013207293649561,0.5758915754445297,0.4939760983427246,0.039832160569707384,0.4473597531775467,0.557025004216522
scaffold,5,0.22895442784471792,0.028734486604520115,0.1834151870814496,0.2559100989634573,0.18478740473415972,0.005931816550430071,0.1801838902101064,0.1941921549061275,0.13448308711358745,0.0026446672167700484,0.1303089302443682,0.13764764737378,0.4866270076084098,0.028788173564236325,0.4373545303781826,0.5083743405332051,0.5262831021604913,0.01607031755974931,0.5103261299042852,0.5470847163324019
target,5,0.1803192396381792,0.03965269448090489,0.12477321997584889,0.22109812658110606,0.1936230249589771,0.009968301426421342,0.18255582161789383,0.20767311449582465,0.13984226657289775,0.005560816651545417,0.13423809415131416,0.1476153661857722,0.46803405032228235,0.03472602868582997,0.424610548598684,0.5130633792086877,0.4647919357763781,0.046256530667947486,0.40629497593846353,0.5181275005401677
