dataset_source,n_samples,r2,rmse,mae,pearson,spearman
CTRP,86845,0.20996962922351026,0.17492823264052984,0.12891410028964845,0.47588663791072927,0.354845476612936
GDSC,49209,-0.08163418316853588,0.20679703790942683,0.1446455852500731,0.11734720901844596,0.2655411649181439
CCLE,1675,-0.35164359651608823,0.28435169516698666,0.21825553760317262,0.6320609535508757,0.6350829159776878
