bin,pred_mean,true_mean,count,gap
"(0.19, 0.617]",0.54914093,0.5436209244198097,13773,-0.005520005755971558
"(0.617, 0.67]",0.6439174,0.6368659290417845,13773,-0.007051452721673734
"(0.67, 0.713]",0.69226176,0.7023052305619555,13773,0.010043475095494303
"(0.713, 0.739]",0.72664106,0.7124484052454346,13773,-0.014192653676379341
"(0.739, 0.76]",0.7497345,0.719165964668219,13773,-0.030568556243951384
"(0.76, 0.778]",0.7684885,0.7475513960217566,13773,-0.02093713032254274
"(0.778, 0.807]",0.7905635,0.7581941899972557,13772,-0.03236933377212292
"(0.807, 0.861]",0.83289284,0.7993164436799641,13779,-0.03357639146026414
"(0.861, 0.885]",0.87600726,0.8314024228651933,13767,-0.044604836026866046
"(0.885, 0.938]",0.89613134,0.8954412401074566,13773,-0.000690096581538735
