dataset_source,n_samples,r2,rmse,mae,pearson,spearman
CTRP,86845,0.21856152751344438,0.17397442481867864,0.12889611119065628,0.4758866384242451,0.354845476612936
GDSC,49209,-0.23960245400713154,0.22138353887345452,0.14750381490687667,0.11734721000861045,0.2655411649181439
CCLE,1675,-0.5074067828031783,0.30028936984683574,0.23269388778517555,0.6320609540907355,0.6350829159776878
