candidate,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,r2,rmse,mae,pearson,spearman,balanced_dataset_r2
2,500,5,0.035,6,0.8,0.8,0.25,2.0,0.34316014636672243,0.1795809358098942,0.12941739181432757,0.5885787335847883,0.6009904575555428,-0.13923880763106902
3,700,4,0.025,10,0.9,0.65,1.0,5.0,0.34217680860761834,0.17971530849743758,0.13114684136389704,0.5873143577601986,0.6010688450086492,-0.23900673227358085
1,350,4,0.04,8,0.85,0.75,0.5,3.0,0.33225942006591247,0.18106494103156362,0.1319825288236296,0.5785566685069119,0.5930130306880877,-0.2556631208395506
4,450,3,0.05,12,0.9,0.7,1.0,4.0,0.309808677503168,0.18408365552074718,0.13322229500877136,0.5601372552969219,0.5828714443050412,-0.31917575665303954
