dataset_source,n_samples,r2,rmse,mae,pearson,spearman
GDSC,4015,0.12614977744824007,0.23929895553683822,0.17243773288053463,0.7147192566135252,0.7286630614894254
PRISM,806200,0.06075628424936841,0.15097009523065913,0.09475975478488967,0.3470706986786701,0.18483897700517188
